Title,Year
"Chang Can Dunk",2023
"Changeling",2008
"Changing Lanes",2002
"Character",2021
"Charlotte Gray",2001
"Children of the Corn",2009
"Children of the Corn",2020
"Children of the Corn 666 Isaac's Return",1999
"Children of the Corn Genesis",2011
"Children of the Corn III Urban Harvest",1995
"Children of the Corn IV The Gathering",1996
"Children of the Corn Revelation",2001
"Children of the Corn Runaway",2018
"Child's Play",1988
"Child's Play 2",1990
"Child's Play 3",1991
"Chilli Laugh Story",2022
"Chinatown Kid",1977
"Chinese Zodiac",2012
"Chocolate",2008
"Choji Snack Bar",1983
"Chompy & the Girls",2021
"Chopping Mall",1986
"Christmas in Vigala",1981
"Christmas With You",2022
"Chronicle of a Blood Merchant",2015
"Cinderella",2015
"Cinderella A Comic Relief Pantomime for Christmas",2020
"Cinema Sabaya",2021
"Circus Maximus",2023
"Citizen Kane",1941
"City Heat",1984
"City Hunter",1993
"City Lights",1931
"Cliff Walkers",2021
"Climbing to Spring",2014
"Clockwatchers",1997
"Close",2022
"Closer",2004
"Code Name Cougar",1989
"Code Name The Cleaner",2007
"Coffee and Cigarettes",2003
"Cold Heaven",1992
"Cold War",2012
"Cold War II",2016
"Collateral",2004
"Colour of the Loyalty",2005
"Colour of the Truth",2003
"Come Fly the Dragon",1993
"Coming Home",2014
"Coming Soon",2008
"Communion",2016
"Con Air",1997
"Confessions Among Actresses",1971
"Confirmation",2016
"Conman in Tokyo",2000
"Consecration",2023
"Contraband",1980
"Control",2022
"Coogan's Bluff",1968
"Cool World",1992
"Cop Shop Babes",2001
"Copycat",1995
"Corsage",2022
"Cosi",1996
"Cosmopolis",2012
"Country Hotel",1957
"Coup d'Etat",1973
"Crabs",1990
"Crash",1996
"Creed III",2023
"Crime + Punishment in Suburbia",2000
"Crime or Punishment!!!",2009
"Crimes of the Future",1970
"Crippled Avengers",1978
"Critical Care",1997
"Crocodile Hunter",1989
"Crossroads",2002
"Cruel Story of Youth",1960
"Cruel Winter Blues",2006
"Crumb",1995
"Cry Macho",2021
"Crying 100 Times - Every Raindrop Falls",2013
"Crying Heart",1999
"Cul-de-sac",1966
"Cult of Chucky",2017
"Curse of Chucky",2013
"Cutie Honey",2004
"Cyrano, My Love",2018
"Dachimawa Lee",2008
"Dance of the Dead",2008
"Dancer",2016
"Dances with Dragon",1991
"Dangerous Encounters of the First Kind",1980
"Dare",2009
"Dark Flight",2012
"Dark Glasses",2022
"Dark Habits",1983
"Dark Heaven",1958
"Dark Mirror of Magick The Vassago Millennium Prophecy",2012
"Darkling",2022
"Darkness Falls",2003
"Daughter",1994
"Daughter",2023
"Daughter 2",1996
"Daughters of China",1949
"David Hockney at the Royal Academy of Arts",2017
"David Lynch The Art Life",2017
"De Humani Corporis Fabrica",2023
"Dead Pigs",2018
"Dead Ringers",1988
"Dead Time",2007
"Deadbeat at Dawn",1988
"Deadstream",2022
"Dear Summer Sister",1972
"Death and the Maiden",1994
"Death Race",2008
"Decisive Match! Girls Dorm Against Boys Dorm",1988
"Deep Blue Sea",1999
"Deep Blue Sea 2",2018
"Deep Blue Sea 3",2020
"Deep Fear",2022
"Degas Passion for Perfection",2018
"Delete My Love",2014
"Demi Ucok",2013
"Desperately Seeking Susan",1985
"Destiny The Tale of Kamakura",2017
"Detective Dee and Nine-story Demon Building",2022
"Detective Dee and The Burning Sky",2020
"Detective Dee and The Dragon of Fire",2023
"Detective K Secret of the Living Dead",2018
"Detective K Secret of the Lost Island",2015
"Detective K Secret of Virtuous Widow",2011
"Detonation Violent Riders",1975
"Detonation! Violent Games",1976
"Diary of a Shinjuku Thief",1969
"Dias Police Dirty Yellow Boys",2016
"Dinner with Friends",2001
"Dirty Deeds",2002
"Dirty Harry",1971
"Disclosure",2020
"Disneyland '59",1959
"Disquiet",2023
"Divergent",2014
"DOA Dead or Alive",2006
"Dog",2022
"Dog Soldiers",2002
"Dogs in Space",1986
"Dolls",1987
"Domingo and the Mist",2022
"Dominion",2018
"Dongalunnaru Jagratha",2022
"Don't Be Afraid of the Dark",2010
"Don't Pave Main Street Carmel's Heritage",1994
"Don't Worry, He Won't Get Far on Foot",2018
"Doris Day A Sentimental Journey",1991
"Double Team",1997
"Doubles Cause Troubles",1989
"Doug Stanhope No Refunds",2007
"Dr. Karn",1973
"Dragon Inn",1992
"Dream Boy",2008
"Dream Horse",2021
"Dreams Of Eroticism",1977
"Drifting Clouds",1996
"Drifting Flowers",2008
"Drive",2011
"Drive My Car",2021
"Driving Miss Daisy",2015
"D-Tox",2002
"Dusk Chorus",2017
"Dwarves Kingdom",2015
"Dying to Belong",1997
"Eami",2022
"Earth",1930
"Earth vs. the Spider",2001
"East of Eden",1955
"Easter in Art",2020
"Eastern Promises",2007
"Eat",2012
"Eat Drink Man Woman",1994
"Eating Miss Campbell",2022
"Eight Below",2006
"Eight Gifts of Hanukkah",2021
"El capitán de Loyola",1949
"El Mar La Mar",2017
"Elektra",2005
"Eleven Gangsters",1963
"Elippathayam",1982
"Elvis",2022
"Emancipation",2022
"Embrace of the Serpent",2015
"Emergency",2022
"Emergency Declaration",2021
"Emily",2022
"Emma",1996
"Emma.",2020
"Emperor",2020
"Emperor of Hemp",1999
"Empire of Dust",2011
"Encanto",2021
"End of the Line",1987
"Enough Said",2013
"Enter the Fat Dragon",2020
"Entrapment",1999
"Enys Men",2022
"EO",2022
"Epic The Judge",2021
"Escapade in Japan",1957
"Escape from Alcatraz",1979
"Escape from Japan",1964
"Escape from Kabul",2022
"Escape Plan The Extractors",2019
"Estamira",2004
"Eternal Breasts",1955
"Ethnic Notions",1986
"Evening",2007
"Evening Rain",1980
"Every Which Way but Loose",1978
"Everyday is Valentine",2001
"Everything Everywhere All at Once",2022
"Evil Angels",1988
"Evil Black Magic",1992
"Evil Brain from Outer Space",1965
"Evil Dream",1994
"Ex Drummer",2007
"Execution in Autumn",1972
"Exile",2016
"eXistenZ",1999
"Exit Through the Gift Shop",2010
"Extremely Loud & Incredibly Close",2011
"Eye in the Labyrinth",1972
"Eyes of a Thief",2014
"Eyes Wide Shut",1999
"Fabricated City",2017
"Faces Places",2017
"Fallen Leaves",2023
"Falling Down",1993
"Falling for Christmas",2022
"Family",2002
"Family Honor",1990
"Farewell to the Summer Light",1968
"Farha",2022
"Fashion King",2014
"Fast Company",1979
"Faster",2010
"Fat Pizza",2003
"Fat Pizza vs Housos",2014
"Fatal Beauty",1987
"Fatale",2020
"Father Stu",2022
"Fear X",2003
"Fear(s) of the Dark",2007
"Feels Good Man",2020
"Female",2005
"Female Prisoner #701 Scorpion",1972
"Female Prisoner Scorpion #701's Grudge Song",1973
"Female Prisoner Scorpion Beast Stable",1973
"Female Prisoner Scorpion Jailhouse 41",1972
"Female Yakuza Tale",1973
"Femalien",1996
"Femalien 2",1998
"Femalien Cosmic Crush",2020
"Femalien Starlight Saga",2022
"Filmworker",2018
"Filosofi Kopi",2015
"Final Cut",2022
"Final Destination",2000
"Final Destination 3",2006
"Final Destination 5",2011
"Finding Father Christmas",2016
"Finding Rahmat",2017
"Finding Vivian Maier",2014
"Fire of Love",2022
"Fire! Trapped on the 37th Floor",1991
"Firefox",1982
"Fires on the Plain",2015
"Fireworks from the Heart",2010
"First Flight",2008
"First Kiss",1998
"First Position",2011
"First Sunday",2008
"Fish Tank",2009
"Fist & Faith",2017
"Fist Power",2000
"Fixed",2015
"Flags of Our Fathers",2006
"Flame in Valley",1967
"Flame of My Love",1949
"Fled",1996
"Flesh Pier",1958
"Flirting in the Air",2014
"Flower, Storm and Gangster",1961
"Fly By Night",2019
"Flying Swords of Dragon Gate",2011
"Focus",1996
"Fools",2016
"Footy Legends",2006
"For Ahkeem",2017
"For Love's Sake",2012
"For the Love of Money",2012
"Forever Pure",2016
"Forever with You",1995
"Foster",2011
"Foster Boy",2019
"Four Women",2007
"Francis in the Navy",1955
"Frantic",1988
"Free State",2016
"Freedom Writers",2007
"Frida Kahlo",2020
"Friends (With Benefits)",2010
"Fright Night",1985
"Fright Night",2011
"Fright Night Part 2",1988
"From Dusk Till Dawn 2 Texas Blood Money",1999
"From Dusk Till Dawn 3 The Hangman's Daughter",1999
"From Paris with Love",2010
"From Vegas to Macau",2014
"From Vegas to Macau II",2015
"From Within",2008
"Fukuoka",2020
"Fukuzawa Yukichi",1991
"Fulano y Mengano",1957
"Fun",1994
"Fun Mom Dinner",2017
"Funny Games",2008
"Future Cops",1993
"Future X-Cops",2010
"Galih & Ratna",2017
"Game Night",2018
"Gang and G-Men Part 2",1963
"Gang vs. Gang",1962
"Gary Cooper American Life, American Legend",1989
"Gate of Flesh",1964
"Gatlopp Hell of a Game",2022
"Genius Party",2007
"Genome Hazard",2014
"Gensen-Kan Inn",1993
"Geostorm",2017
"Gett The Trial of Viviane Amsalem",2014
"Getting It Back The Story Of Cymande",2022
"Ghost Fever",1989
"Ghost from the Machine",2010
"Ghost Legend",1990
"Ghostbusters II",1989
"Ghosts of the Night",2014
"Ghosts of the Ozarks",2022
"Ginza Cosmetics",1951
"Giovanna",1955
"Giraffada",2014
"Girl Boss Blues Queen Bee's Counterattack",1971
"Girl Boss Crazy Ball Game",1974
"Girl Boss Diamond Showdown",1974
"Girl Boss Escape From Reform School",1973
"Girl Boss Guerilla",1972
"Girl Boss Revenge Sukeban",1973
"Girl of the Big House",2016
"Girl Picture",2022
"Girl Rising",2013
"Girl Walks Into a Bar",2011
"Girl with a Pearl Earring And Other Treasures from the Mauritshuis",2015
"Girl with the Diamond Slipper",1985
"Girlfriends",2009
"Glass Onion A Knives Out Mystery",2022
"Glassland",2015
"Glorious 39",2009
"G-Men in the Pacific",1962
"Go, Go Second Time Virgin",1969
"God of Gamblers 3 The Early Stage",1996
"God of Gamblers II",1990
"God of Gamblers III Back to Shanghai",1991
"God of Gamblers' Return",1994
"Goddamned Asura",2022
"Godland",2022
"God's Creatures",2022
"Godzilla",2014
"Golden Swallow",1968
"Gone in Sixty Seconds",2000
"Good Madam",2021
"Good Morning President",2009
"Good-for-Nothing",1960
"Goodman Town",2002
"Gosnell The Trial of America's Biggest Serial Killer",2018
"Gran Torino",2008
"Grand Illusion",1937
"Grave of the Fireflies",2005
"Great Jailbreak",1975
"Greed",1924
"Green",1996
"Green Book",2018
"Green Bullet",2022
"Green Fish",1997
"Green Room",2015
"Grimcutty",2022
"Grounded God",1975
"Growing Up Smith",2017
"Guardian",2014
"Guava Island",2019
"Guillermo del Toro's Pinocchio Handcarved Cinema",2022
"Guilty As Charged",1991
"Gunfight at High Noon",1964
"Gunman",1983
"Gunman II",1988
"H4Z4RD",2022
"Hail the Judge",1994
"Hakui chokyo",1986
"Hallelujah",1929
"Hallelujah",1997
"Halloween Ends",2022
"Hamlet",2000
"Hana's Miso Soup",2015
"Handsome Siblings",1992
"Hanna",2011
"Hansel & Gretel",2007
"Hansel and Gretel",2007
"Happily Ever After",2004
"Happy Life",2007
"Happy Times",2000
"Hard to Be a God",2013
"Harvest of Despair",1985
"Hatching",2022
"Hatsujô musume Guri-guri asobi",1986
"Haven",2004
"Hazard",2005
"Haze",2005
"He is My Enemy, Partner and Father-In-Law",1999
"He Who Must Die",1957
"Head On",1998
"Heartbreak Ridge",1986
"Heaven",2002
"Hector and the Search for Happiness",2014
"Hell Ride",2008
"Hellraiser",2022
"Helmut Schmidt – Lebensfragen",2013
"Helvetica",2007
"Her",2013
"Her Granddaughter",2015
"Here Are the Young Men",2021
"Hereafter",2010
"Here's Looking At You, Warner Bros.",1991
"Heroic Purgatory",1970
"Hey Hey It's Esther Blueburger",2008
"High Ground",2021
"High Heels",1991
"High Plains Drifter",1973
"High Resolution",2018
"High Risk",1995
"Hindsight",2011
"Hiroshima Mon Amour",1959
"Hiruko the Goblin",1991
"Hit Team",2022
"Hitchcock",2012
"Hobo General",1976
"Hocus Pocus 2",2022
"Hold Your Fire",2021
"Holiday in Seoul",1997
"Holmes & Watson",2018
"Holy Spider",2022
"Holy Weapon",1993
"Homeland",2014
"Honesty",2003
"Honey 2",2011
"Hong Kong Ghost Stories",2011
"Hong Kong Graffiti",1985
"Hong Kong Playboys",1983
"Honkytonk Man",1982
"Hope",2013
"Hopper An American Love Story",2022
"Horror Stories",2012
"Horror Stories 2",2013
"Horrors of Malformed Men",1969
"Hot Springs Geisha",1968
"Hotel Angel",1974
"Hotel Splendide",2000
"Hounded",2022
"Hour of Death",1964
"House in the Alley",2013
"House Party",2023
"Housos vs. Authority",2012
"How to Lose Friends & Alienate People",2008
"How to Pick Girls Up!",1988
"How to Train Your Dragon 2",2014
"How to Train Your Dragon The Hidden World",2019
"Howling",2012
"Hubie Halloween",2020
"Human Flowers of Flesh",2023
"Human Highway",1982
"Hwang Jin Yi",2007
"Hyenas",1992
"Hypochondriac",2022
"I Am an S+M Writer",2000
"I Am Keiko",1997
"I Am Mother",2019
"I Am Not Your Negro",2017
"I Corrupt All Cops",2009
"I Love Lolanto",1984
"I Married a Strange Person!",1998
"I Not Stupid",2002
"I Used to Go Here",2020
"I, Claude Monet",2017
"I.Q.",1994
"Icare, ou la mesure des choses",2022
"Ice Age Collision Course",2016
"If You Were Me 5",2011
"Ikiru",1952
"Ilo Ilo",2013
"I'm a Cyborg, but That's OK",2006
"I'm Glad It's Christmas",2022
"I'm Not There",2007
"I'm Reed Fish",2007
"I'm So Excited!",2013
"I'm Thinking of Ending Things",2020
"Imani ()"
"Immaculate",2021
"Immanence",2022
"Imminent Threat",2015
"Immortal Love",1961
"Impasse",1967
"Imperium",2016
"Impetigore",2019
"Implacable Three",1963
"In Her Shoes",2005
"In Love and the War",2011
"In Our Prime",2022
"In the Heart of the Machine",2022
"In the Line of Fire",1993
"In the Realm of the Senses",1976
"In the Soup",1992
"In Water",2023
"Incantation",2022
"Incredible But True",2022
"Indiana Jones and the Kingdom of the Crystal Skull",2008
"Indiana Jones The Search for the Lost Golden Age",2021
"Inferno of Torture",1969
"INGtoogi The Battle of Internet Trolls",2013
"Inheritance",2020
"Innocent Blood",1992
"Inside Men",2015
"Insidious",2010
"Insidious Chapter 2",2013
"Insidious Chapter 3",2015
"Insidious The Last Key",2018
"Insomnia",2002
"Instant Dreams",2017
"Internal Affairs",1990
"Intimate Confessions of a Chinese Courtesan",1972
"Into a Dream",2005
"Into Great Silence",2005
"Intolerance Love's Struggle Throughout the Ages",1916
"Invaders from Space",1965
"Inventing the Abbotts",1997
"Invictus",2009
"Iron Jawed Angels",2004
"It Came from Kuchar",2009
"Itchy Fingers",1979
"Ito",2021
"It's a Wonderful Binge",2022
"It's Boring Here, Pick Me Up",2018
"It's in the Air",1938
"It's Only Talk",2006
"Ivan the Terrible, Part I",1944
"J. Edgar",2011
"Jack Brooks Monster Slayer",2007
"Jalsa",2022
"James White",2015
"Jane Doe How to Fire Your Boss",2007
"January",2022
"Japanese Hell",1999
"Japanese Summer Double Suicide",1967
"Jasper Jones",2017
"Jay and Silent Bob's Super Groovy Cartoon Movie",2013
"Jenny's Wedding",2015
"Jersey Boys",2014
"Jesus Henry Christ",2012
"Jesus' Son",1999
"Jo Pil-ho The Dawning Rage",2019
"Joe Kidd",1972
"Joe's Violin",2016
"Johnny English Strikes Again",2018
"Joint Security Area",2000
"Joni's Promise",2005
"Joomoonjin",2010
"Journey to the West The Demons Strike Back",2017
"Joyland",2022
"Judge!",2014
"Judgement of an Assassin",1977
"Julieta",2016
"Jumpin' at the Boneyard",1991
"Just a Breath Away",2018
"K-9 P.I.",2002
"Kabukicho Love Hotel",2014
"Kabul Express",2006
"Kagekiha opera",2016
"Kagemusha",1980
"Kal Ho Naa Ho",2003
"Kalamandalam Gopi",1999
"Kalev",2022
"Katalin Varga",2009
"Kelly's Heroes",1970
"Kerr",2022
"Khun Pan 2",2018
"Khun Pan 3",2023
"Khun Phaen Begins",2019
"Kicks",2016
"Kids vs. Aliens",2023
"Kika",1993
"Kikuchi Eri kyonyû-zeme",1988
"Kikyo",2004
"Kill Boksoon",2023
"Kill It and Leave This Town",2021
"Kill Me Three Times",2015
"Killer Clans",1976
"Killer Darts",1968
"Killer's Hit List",1970
"Killers of the Flower Moon",2023
"Killing Daddy",2014
"Kindan ikenie no onna",1986
"King Naresuan 3",2011
"King Naresuan 4",2011
"King Naresuan 5",2014
"King Naresuan 6",2015
"King of Beggars",1992
"King of Chess",1991
"King of the Ring The World of Glory",1957
"Kingdom 3 The Flame of Fate",2023
"Kingdom II Far and Away",2022
"Kiseki Sobito of That Day",2017
"Kiss Me Much",2001
"Kivalina",2016
"Klondike",2022
"Knife in the Water",1962
"Knight of Cups",2015
"Knight Rider 2010",1994
"Knock Off",1998
"Knocked Up",2007
"Kodiyettam",1978
"Kokoda",2006
"Kokomo City",2023
"Kompromat",2022
"Kotoko",2011
"Kounterfeit",1996
"Krampus",2015
"Kristin's Christmas Past",2013
"Kung Fu Mahjong",2005
"Kung Fu Mahjong 2",2005
"Kunpan",2002
"Kusama Infinity",2018
"Kyoto, My Mother's Place",1991
"L.A. Takedown",1989
"La terra trema",1948
"Labyrinth of Passion",1982
"Lady Godiva of Coventry",1955
"Lady of Steel",1970
"Lafayette Escadrille",1958
"L'Âge d'Or",1930
"L'amant",2004
"Lamya's Poem",2021
"Lan Kwai Fong",2011
"Lan Kwai Fong 2",2012
"Last Film Show",2022
"Last Hero in China",1993
"Last Hurrah for Chivalry",1979
"Last Looks",2022
"Last Love",2003
"Last Men in Aleppo",2017
"Last Night in Soho",2021
"Last Survivors",2022
"Last Words",2007
"Last Year at Marienbad",1961
"L'Atalante",1934
"L'Avventura",1960
"Law of Desire",1987
"Le Grand Chef",2007
"Le Jour Se Lève",1939
"Le Million",1931
"Lean On Me",1989
"Leaving on the 15th Spring",2013
"Legend of the Guardians The Owls of Ga'Hoole",2010
"Legend Of The Liquid Sword",1993
"Legend of the Red Dragon",1994
"Lego DC Batman Family Matters",2019
"Lego DC Comics Super Heroes The Flash",2018
